Name,Ingredients
Healthy Ragi & Rice  Porridge,"rice, milk, palm sugar, ragi flour, almond meal, cocoa powder, flax seed powder"
Vegan Chickpeas And Broccoli Curry,"tomato, salt, cumin powder, coriander leaves, red chilli powder, water, ginger garlic paste, kabuli chana, cinnamon stick, broccoli, onion, cloves, sunflower oil"
Chettinad Nandu Varuval (Crab Fry Dry With Baby Onions),"tomato, salt, coriander leaves, crab, red chilli powder, ginger garlic paste, curry leaves, fennel powder, dry red chillies, black pepper powder, coriander powder, turmeric powder, green chillies, sunflower oil"
Paneer Kofta Curry - Non Fried,"tomato, salt, coriander, cumin powder, ginger, , paneer, hung curd or, coriander powder, flour, turmeric powder, kasuri methi, garam masala powder, sunflower oil"
Upvaas Thalipeeth,"salt, singoda flour, coriander leaves, barnyard millet, rajgira flour, tapioca flour, cumin seeds, ghee greasing, groundnut powder, potato, green chillies"
Whole Wheat Crepe With Eggs And Roasted Peppers,"yellow bell pepper, salt, wheat flour, red bell pepper, eggs, milk, virgin olive oil, onion, black pepper powder, green bell pepper, eggs, butter"
Ginger Chutney - Ginger Chutney,"salt, rye, ginger, black cumin, black pepper, asafoetida, jaggery, fenugreek seeds, sesame, tamarind remove pulp, dry red chillies, curry leaves, oil, white urad dal"
Nagli/Ragi Laddu,"dates soft seedless, wheat flour, mixed dry fruits, ghee, milk, jaggery, dry coconut, ragi flour, peanuts, sesame seeds, mixed nuts"
Tamil Nadu Vengaya Sambar - Pearl Onion Sambar,"tomato, salt, arhar dal, tamarind water, mustard seeds, asafoetida, dry red chilli, pearl onion, curry leaves, methi seeds, turmeric powder, sambar powder"
Flourless Chilli Chocolate Cake,"salt, paprika powder, sugar, vanilla, dark chocolate, eggs, dark chocolate, butter"
Lauki Badi Ki Sabzi,"bottle gourd the skin, ginger, green chilli, mustard seeds, asafoetida, milk, red chilli powder, cloves garlic, curry leaves, cumin seeds, badi, coriander powder, turmeric powder, garam masala powder, sunflower oil"
Radish Paratha (Radish Paratha),"salt, wheat flour, asafoetida, red chilli powder, cumin seeds, mooli mullangi, turmeric powder, sunflower oil"
Gujarati Batata Pulao - Sweet And Spicy Pulao With Lentils And Potatoes,"basmati rice, yellow moong dal, green chillies, ginger, salt, coconut, bay leaf, cardamom podsseeds, ghee, green peas, cloves garlic, sugar, onion, cinnamon stick, cumin seeds, mint leaves, potato, turmeric powder, cloves, sunflower oil"
Konkani Vali Bendi-Malabar Spinach Curry,"salt, coconut, cloves garlic, dry red chillies, tamarind, spinach leaves"
Cucumber Gantha (Kheer Puli),"cashew nuts, salt, sugar evaporated, coconut, milk, water, badam, cardamom powder, rice flour"
Dill Leaves Toor Dal - Shepu/ Suva Dal,"tomato, salt, arhar dal, dill leaves, ginger, green chilli, mustard seeds, ghee, bay leaf, red chilli powder, cloves garlic, onion, cumin seeds, lemon, turmeric powder"
Karnataka Bell Saaru,"tomato, salt, arhar dal, tamarind water, coconut, mustard seeds, ghee, jaggery, black peppercorns, curry leaves, byadagi dried chillies, coriander seeds, dry red chillies, cumin seeds, methi seeds, turmeric powder"
Creamy Spinach Lentils,"tomato, salt, spinach, milk, red chilli flakes, basil leaves, rocket leaves, onion, dry white wine, masoor dal, butter"
Jain Corn Palak - Jain Corn Palak  In Hindi),"tomato, salt, spinach, asafoetida, red chilli powder, sugar, kasoori methi, lemon, oil, sweet corn simmer, cashews, green chillies, cumin seeds, garam masala powder"
Chettinad Mushroom And Green Peas Stir Fry,"ginger, cardamom podsseeds, fennel seeds, green peas, cloves garlic, black peppercorns, coriander seeds, onion, methi seeds, poppy seeds, cinnamon stick, dry red chillies, button mushrooms"
Zhejiang  Crispy Five Spice Powder Spring Roll,"salt, ginger, chinese spice powder, spring onion, hoisin sauce, sweet corn, button mushrooms, flour, cloves, butter"
Sauteed Spicy Prawns,"salt, spring onion greens, red chilli powder, cloves garlic, nandoperi peri chicken sauce, virgin olive oil, coriander leaves, onion, turmeric powder, prawns"
Sweet Potato And Carrot Sabzi,"tomato, salt, ginger, garam masala powder, green chilli, fennel seeds, red chilli powder, cloves garlic, carrot, coriander leaves, onion, turmeric powder, sweet potato, sunflower oil"
Vegetable Sandwich With Mashed Avocado And Cottage Cheese,"tomato, wheat brown bread, salt, paneer, potato, green chutney, avocado, onion, black pepper powder, cucumber, cabbage"
Layered Thai Basil & Tofu Rice,"salt, jasmine rice, cloves garlic, dark soy sauce, shiitake mushrooms, sesame oil groundnut oil, light soy sauce, sugar, onion, water, peanuts, tofu, thai basil, thai red chilli, sunflower oil"
Blueberry Muffin Cake,"baking powder, salt, eggs, milk, blueberries, sugar, vanilla, flour, icing sugar, butter, cinnamon powder"
Quick Pulao With Onions And Tomatoes,"tomato, salt, rice, ghee, red chilli powder, curry leaves, coriander leaves, onion, cumin seeds, lemon, turmeric powder, green chillies"
Greek Μαυρομάτικα (Black Eyed Beans with Celery and Thyme),"tomato, salt, black peppercorns, cloves garlic, onion, tme leaves, celery stalks, black eyed beans, dried oregano"
Schezwan Chicken Sizzler,"yellow bell pepper, spring onion greens, virgin olive oil, white vinegar, carrot, onion diced, black pepper powder, chicken breasts, green chillies, sunflower oil, salt, wheat flour, corn flour, red bell pepper, broccoli, eggs, light soy sauce, spring onion greens stalks, green beans, hakka noodles boiled, tomato pasta sauce, sesame seeds, sweet spicy red chilli sauce, ginger, dark soy sauce, ginger garlic paste, spring onion, red chilli sauce"
Mixed Vegetable Corn Pakora - Made In Kuzhi Paniyaram Pan,"salt, ajwain, red chilli powder, chaat masala powder, carrot, gram flour, onion, green bell pepper, rice flour, enos fruit salt, sunflower oil"
 Spicy Gram Flour Sabzi  In Hindi),"salt, green chilli, red chilli powder, cloves garlic, water, mustard, onion, oil, coriander leaves, cumin seeds, gram flour"
Mint Chutney Pasta - Pasta In Pudina Chutney Sauce,"olive oil, salt, parseley, black pepper powder wise, mint, cloves garlic, coriander, green onion, pasta, lemon, green chillies"
Healthy Lemon Cupcakes (Eggless),"baking powder, wheat flour, water, baking soda, lemon, caster sugar, raisins black, turmeric powder, sunflower oil"
Mogre's Sorbet - Fresh Jasmine Drink,"saffron strands, milk, water, jasmine buds, sugar, cardamom powder"
 Sukhi Suran Masala Sabzi,"turmeric powder, salt, ginger, cumin powder, red chilli powder, curry leaves, onion, garlic, coriander powder, oil, black pepper powder, suran squares, green chillies, cumin seeds, garam masala powder"
Bihari Dal Pitha (Traditional Bihari Delicacy),"rice rice flour, salt, green chillies, ginger, coriander leaves, ajwain, water, cloves garlic, black peppercorns, sunflower oil greasing, cumin seeds, chana dal, sunflower oil"
Ginger Teriyaki Rice,"salt, ginger, rice, sesame oil, cloves garlic, ginger teriyaki sauce, spring onion, lemon, black pepper powder"
Urulai Kizhangu Roast - Spicy Potato Roast,"salt, mustard seeds, asafoetida, red chilli powder, sesame oil, curry leaves, cumin seeds, potato, turmeric powder"
South Carrot Poriyal - Carrot Poriyal ),"turmeric powder, salt, coconut, asafoetida, carrot, mustard, white urad dal, curry leaves from the middle, oil, red chilli"
Cauliflower Moong Dal - Cauliflower Moong Dal,"turmeric powder, salt, tomato, ginger, cumin powder, yellow moong dal split, coriander, onion, oil, green chillies, garam masala powder, cabbage"
Health Benefits of Rasna (Alpinia Galanga) - Ayurvedic Medicinal Plant,"cumin powder, water, stalks rasna roots leaves, black pepper powder"
Eggless Chocolate Pistachio Biscotti,"baking powder, pistachios, milk, sunflower oil, chocolate chips, vanilla, caster sugar, cocoa powder, flour"
Dal Chingri (Bengali Channa Dal And Prawns),"tomato, carrot, cumin seeds, turmeric powder, chana dal, salt, mustard oil, cardamom podsseeds, dry red chillies, prawns, garam masala powder, asafoetida generous, coconut, cauliflower, red chilli powder, sugar, coconut milk, bay leaves, ghee, cinnamon stick, cloves"
Schezwan Masala Dosa Using Idli Dosa Batter,"salt, ginger, carrotor, stalk spring onion greens, ghee, schezwan sauce, idli rice, sesame oil, cloves garlic, soy sauce, green bell pepper, tomato ketchup, onion, methi seeds, hakka noodles, red chilli sauce, green chillies, cabbage, white urad dal"
"Kidney Beans, Crumbled Feta, Basil Salad with Lemon Vinaigrette","salt, rosemary, basil leaves, virgin olive oil, lemon, rajma, feta cheese, pepper, dried oregano"
Maharashtrian Patichya Kandyachi Zunka -Spring Onions and Besan Sabzi,"salt, green chilli, mustard seeds, asafoetida, red chilli powder, gram flour, spring onion, turmeric powder, sunflower oil"
Mangalorean Ambe Upkari - Ripe Mango Curry,"mustard seeds, asafoetida, white urad dal, dry red chillies, ghee coconut oil, green chillies, jaggery, mango"
Vegetable Paella (Spanish Vegetable Rice),"yellow bell pepper, tomato, red bell pepper, vegetable stock, salt, paprika powder, saffron strands, cloves garlic, virgin olive oil, black peppercorns, button mushrooms you can alternatively combination vegetables like beans, onion, parsley leaves, lemon, black olives, green bell pepper, rice short grain, turmeric powder"
Spiced Rice  Porridge,"mixed fruits, salt, nutmeg powder, rice, milk, dry ginger powder, mixed nuts, cinnamon powder"
Butter Chicken - The Chicken Gravy,"tomato, salt, boneless chicken, kashmiri red chilli powder, red chilli powder, ginger garlic paste, curd, coriander powder, turmeric powder, kasuri methi, butter, garam masala powder"
Baingan Musallam (Mughlai Eggplant Simmered In Rich Tomato Curry),"tomato, coriander, salt, ginger, bay leaf, brinjal, red chilli powder, raisins, cloves garlic, onion, coriander powder, turmeric powder, garam masala powder, sunflower oil"
Rajasthani Kachri Ki Chutney (Wild Cucumber Chutney),"salt, ghee, cloves garlic, curd, dry red chillies, cumin seeds, kachri"
Mangalorean Kuvalyacho Pollav (Yellow Pumpkin Curry),"salt, parangikai pumpkin, coconut, mustard seeds, ajwain, water, coriander seeds, onion, dry red chillies, coriander powder, tamarind, turmeric powder"
Carrot Pistachio Coconut Cake,"baking powder, salt, pistachios, coconut, canola oil flavorless oil, carrot, vivatta maida, sugar, baking soda, vanilla, eggs, cinnamon powder"
 Cabbage Tomato Sabzi  In Hindi),"tomato, salt, turmeric powder, rye, coriander, red chilli powder, oil, coriander powder, cumin seeds, cabbage"
Vegan Black Beans Stuffed Paratha,"salt, wheat flour, sunflower oil, red chilli powder, cumin seeds, black eyed beans, garam masala powder, flour flour"
Chicken Pad Thai Noodles,"yellow bell pepper, fish sauce, red bell pepper, ginger, sweet spicy red chilli sauce, peanut butter, salt, rice noodles, cloves garlic, carrot, soy sauce, red chilli flakes, onion, lemon, brown sugar, peanuts, green bell pepper, chicken breasts"
Green Beans Lentil Usili - Iyengar,"salt, arhar dal, mustard seeds, asafoetida, curry leaves, white urad dal, dry red chillies, gingelly oil, turmeric powder, green beans finelt"
Artichoke Bodi Surri - Artichoke Fry,"salt, mustard seeds, coconut, bhindiokravendaikkai, curry leaves, gingelly oil, idli dosa podi, turmeric powder, sambar powder"
Spicy Schezwan Indo-Chinese Egg Fried Rice,"basmati rice, green beans, ginger, salt, cloves garlic, carrot, soy sauce, spring onion both green white, vinegar, eggs"
Dried Kala Chana Masala - Ashtami Prasad,"salt, cumin powder, amchur, ghee, chaat masala powder, red chilli powder, cumin seeds, kala chana"
Chana Methi Dal - Chana Methi Dal,"tomato, coriander leaves, turmeric powder, salt, fenugreek, ghee, asafoetida, red chilli powder, chana dal, onion, dry red chillies, cumin seeds"
Mexican Chicken Burger With Sour Cream & Salsa,"cheese, salt, burger buns, cumin powder, sour, coriander leaves, eggs, cloves garlic, jalapenos, tomato salsa, onion, black pepper powder, chicken breasts, butter"
Pulao in Cataract Chail - Vegetable Reese Topped with Paneer Balas,"basmati rice, salt, hung curd, cardamom podsseeds, paneer, cauliflower, potato, green peas, red chilli powder, coriander leaves, cloves, garam masala powder, sunflower oil"
Dal Ghiya with Punjabi Wadiyan - Lentils with Bottle Gourd & Sundried Lentil Dumplings,"tomato, green chillies, salt, ginger, asafoetida, coriander leaves, red chilli powder, water, onion, badi, bottle gourd, turmeric powder, coriander seeds, chana dal, garam masala powder, cumin seeds"
The goes professionally,"tomato, salt, ginger, green chilli, cardamom podsseeds, tea bags, anardana powder, red chilli powder, cloves garlic, kabuli chana, onion, cinnamon stick, lemon, coriander powder, garam masala powder, sunflower oil"
Ujju Rotti  Rice Flat Bread),"salt, rice flour, water, sunflower oil"
Kala Chana Chaat-Chatpata Healthy Street food,"tomato, cumin powder, coriander leaves, chaat masala powder, jaggery, onion, salt, green chilli, sev, pomegranate fruit kernels pomegranate pearls, tamarind paste, mint leaves, red chilli powder, sugar, lemon, dates, kala chana, black salt, ginger, amchur, potato, dry ginger powder"
Rajasthani Bajre Khatti Rabri,"buttermilk, bajra flour, salt, cumin seeds"
Sri Lankan Egg Bread,"salt, rice, coconut, dry yeast, sugar, eggs"
Pistachio & Cranberry Broken Wheat Pilaf,"salt, wheat, pistachios, black pepper corns, mint leaves, virgin olive oil, cranberries, lemon"
Old Fashioned Bread Pudding,"rum brandy, wheat brown bread, milk, apples apples, dry fruits like raisins, vanilla, caster sugar, eggs, butter cooled, walnuts, cinnamon powder"
Khandeshi Dal,"cumin powder, coriander leaves, black peppercorns, cloves garlic, white urad dal, onion, turmeric powder, chana dal, sunflower oil, salt, arhar dal, cardamom podsseeds, dry coconut, dry red chillies, mustard seeds, pink masoor dal, lemon, green moong dal, bay leaf, kashmiri dry red chillies, cinnamon stick, coriander powder, cloves"
Baked Sweet Potato Boats,"coriander leaves, virgin olive oil, jalapenos, onion, cumin seeds, black pepper powder, dried oregano, salt, red bell pepper, cloves garlic, sweet potatoes, red wine, black beans, tomato seeded, red chilli powder, water, sugar, apple cider vinegar white vinegar, lemon, cashew nuts, sweet corn cooled, green bell pepper, red chilli sauce, lemon but preferred"
Pahari Phanu - Mixed Dal,"tomato, ginger, arhar dal, green chilli, asafoetida, mustard oil tadka, cloves garlic, white urad dal, cumin seeds, turmeric powder"
Sour Sweet Pudla - Gujarati Steel Sweet & Savory Panke,"tomato, salt, wheat flour, green chilli, amchur, asafoetida, coriander leaves, jaggery, red chilli powder, water, gram flour, sunflower oil drizzile, tomato pasta sauce, turmeric powder, green chutney, sunflower oil"
Sweet & Spicy Soy Dipping Sauce,"salt, spring onion greens, water, soy sauce, chilli vinegar, sriracha sauce, brown sugar, paprika powder paprika powder"
Tangy Raw Beetroot & Tomato Chutney,"tomato, salt, coriander leaves, water, lemon, beetroot, green chillies"
Cauliflower Tortilla,"salt, cauliflower, eggs, black pepper powder"
Vegetarian Thai Massaman Curry,"salt, spring onion greens, tofu, bay leaf, cardamom podsseeds, palm sugar brown sugar, cloves garlic, stalk lemon grass, carrot, dry red chillies, coriander seeds, galangal ginger, peanuts, tamarind paste, cumin seeds, cinnamon stick, coconut milk, broccoli, cloves"
Maharashtrian Sheng Sola (Vegetable Stew),"salt, ginger, mustard seeds, potato, jaggery, green peas, cloves garlic, carrot, coriander leaves, cumin seeds, turmeric powder, sesame seeds"
Eggless Whole Wheat Cake with Chocolate Buttercream Frosting,"baking powder, wheat flour, hung curd, milk, walnuts, virgin olive oil, water, baking soda, butter coconut butter, sugar, vanilla, brown sugar, cocoa powder, icing sugar, cinnamon powder"
Yogurt Lamb Curry,"black cardamom, salt, cardamom podsseeds, ghee, kashmiri dry red chillies, water, curd, dry ginger powder, lamb, onion, cinnamon stick, cumin seeds, garlic ground paste, cloves, garam masala powder, mint leaves dry"
Thayir Semiya (Curd Semiya),"cashew nuts, asafoetida, mustard seeds, curd, white urad dal, semiya, curry leaves, peanuts, sunflower oil"
Karela Kadhi,"salt, mustard seeds, water, gram flour, curd, curry leaves, onion, cumin seeds, green chillies paste, ginger paste, karela de skinned"
Chicken in Banana Leaves,"salt, cotton threads, red chilli powder, black peppercorns, ginger garlic paste, banana leaf, coriander leaves, lemon, boneless chicken cubes, cloves, turmeric powder, green chillies, star anise, sunflower oil"
Karathe Nonche - Bitter Gourd Pickle,"salt, karela, asafoetida, mustard seeds, jaggery, curry leaves, coriander seeds, methi seeds, tamarind, coconut oil"
Spicy Chilli Mango Virgin Mojito,"salt, ginger, ice cubes, mango, lemon, lemon, mint leaves, aerated water, green chillies"
Kadai Mushroom,"tomato, turmeric powder, salt, ginger, black peppers, capsicum, coriander leaves take cumin seeds, cinnamon, red chilli powder, water, fenugreek seeds, onion, garlic, coriander powder, bay leaves, button mushroom, oil, green chillies"
Grilled Cheese Chocolate Sandwich,"britannia cheese mexican chilli, wheat brown bread, chocolate bar, britannia cheese block"
Arbi Jhol -Uttar Pradesh Colocasia & Lotus Seeds Sabzi,"tomato, salt, cumin powder, asafoetida, ginger garted, coriander leaves, red chilli powder, colocasia root, phool makhana, cumin seeds, kasuri methi, coriander powder, turmeric powder, green chillies, garam masala powder, sunflower oil"
Hirve Kalvan (Fresh Coriander and Coconut Curry),"salt, green chilli, coconut, coriander leaves, cumin seeds, coconut milk, rice flour, turmeric powder, sunflower oil"
Grilled Vegetable Empanadas,"yellow bell pepper, cumin powder, brinjal, corn cob husked, virgin olive oil, onion, salt, wheat flour, red bell pepper, coriander, goat cheese, green zucchini, flour, eggs water milk, red chilli powder, sugar, button mushrooms large portobello mushroom, pepper, jalapenos seeded, barbeque sauce, green bell pepper, coriander powder"
Karnataka Tamarind Gojju,"tomato, salt, ginger, green chilli, tamarind water, mustard seeds, red chilli powder, curry leaves, sunflower oil"
Dhaba Spicy Ghee Rice Made From Whole Spices,"salt, green chilli, rice, cardamom podsseeds, ghee, bay leaf, black peppercorns, water, curry leaves, cinnamon stick, cumin seeds, cloves, star anise"
Authentic Godumai Dosai - Whole Wheat Flour Crepes,"salt, wheat flour, green chilli, coriander leaves, sesame oil, curd, curry leaves, onion"
Stuffed Dahi Vada,"cashew nuts, salt, ginger, coriander leaves, raisins, water, red chilli powder, carrot, curd, onion, avarekai, cumin powder chaat masala, green chillies, white urad dal"
Dahi Wale Makhane - Lotus Seeds In Curd Gravy,"cumin powder, chaat masala powder, cloves garlic, onion, phool makhana, turmeric powder, sunflower oil, salt, green chilli, cardamom podsseeds, tandoori masala, garam masala powder, red chilli powder, water, curd, lemon, ginger, ghee, gram flour, coriander powder, cloves"
Carrot Soup,"vegetable stock, ginger, potato, celery, black peppercorns, carrot, virgin olive oil, onion, lemon, coriander powder"
Jolada Ganji (Jowar Savoury Porridge),"salt, jowar flour, mustard seeds, lemon skip you are using buttermilk, black urad dal, curry leaves, onion, water buttermilk, green chillies, sunflower oil"
Healthy & Jamun Fruit Smoothie - Black Plum Smoothie,"milk, ice, curd, jamun"
Khakra Chaat,"tomato, cumin powder, sev, coriander leaves, chaat masala powder, green moong sprouts, red chilli powder, sweet chutney, onion, green chutney, cucumber, wheat khakras"
Sweet Potato Avocado Brownie Bites,"coconut flour, salt, sweet potato pumpkin, baking soda, avocado, chocolate chips, cocoa powder, eggs, coconut oil, walnuts"
Menthya Jolada Mudde - Methi & Jowar Balls,"salt, jowar flour, ghee, methi leaves, water, sunflower oil"
Big Farm Fresh Pizza Loaded With Crisp Veggies,"tomato, pizza pasta sauce, salt, pizza base storebought, black pepper powder, milk, mozzarella cheese, red chilli flakes, carrot, baby corn, jalapenos, virgin olive oil, onion, sweet corn, green bell pepper, del monte black olives, cabbage, dried oregano"
Fennel Pesto Pull-Apart Bread,"salt, wheat flour, fennel, potato, virgin olive oil, dry yeast, water, gram cheddar cheese, cloves garlic, lemon, walnuts pine nuts, lemon lemon, flour, milk powder, sesame seeds, pepper"
Masala Omelette Sliders - High Protein ,"tomato, cheese, coriander, salt, tomato ketchup, onion, green chutney, pav buns, eggs, green chillies, butter, sunflower oil"
Paatolyo (Goan Sweet Dish),"salt, dry fruits, coconut, jowar flour, jaggery, ragi flour, cardamom powder, turmeric leaves, rice flour, instant oats"
Mexican Pumpkin and Spinach Quesadillas,"salt, parangikai pumpkin, paprika powder, mozzarella cheese, virgin olive oil, wheat flour tortilla, black pepper powder, spinach leaves"
Farm Fresh Vegetarian Pasta Salad,"salt, lemon lemon, english cucumber, basil leaves, cherry tomato, apple cider vinegar, conchiglie pasta, purple basil, virgin olive oil, parsley leaves, lemon, sugar, cloves garlic, pepper, red onion"
Struffoli,"salt, orange, curd, sugar, vanilla, lemon, lemon, flour, icing sugar, hazelnut, sunflower oil"
Grilled Pesto Paneer,"salt, hung curd, paneer, cloves garlic, basil leaves, virgin olive oil, virgin olive oil grill, pepper, parmesan cheese, walnuts"
Beet Latte,"coconut sugar, beetroot juice, vanilla, almond milk badam milk frothed, cocoa powder, coconut milk, cinnamon powder"
Assamese Mohura Pitha - Sweet Rice Dumplings,"salt, coconut, jaggery, water, peanuts, black pepper powder, rice flour, cinnamon powder"
Chocolate Buckwheat Pancake Skewers,"baking powder, bananas, mixed fruits kiwi, coconut oil virgin, almond milk badam milk, coconut oil virgin, coconut sugar jaggery, vanilla, maple syrup, cocoa powder, buckwheat flour"
Andhra Peanut Chutney With Tomatoes,"peanuts skin, tomato, salt, mustard seeds, cloves garlic, curry leaves, white urad dal, dry red chillies, sunflower oil"
Drumstick Dal,"tomato, salt, arhar dal, kashmiri red chilli powder, ghee, asafoetida, mustard seeds, drumstick, curry leaves, dry red chillies, onion, turmeric powder, green chillies"
Kabuli Chana Chaat - High Protein Snack of Chikki Chaat,"tomato, aloo bhujia, salt, amchur, potato, chaat masala powder, kabuli chana, coriander leaves, onion, lemon, cucumber, green chillies"
Dhaba Tomato Chutney,"tomato, salt, mustard oil, coriander leaves, cloves garlic, green chillies"
Moong Dal Idli & Dosa Batter,"idli rice, yellow moong dal, salt, methi seeds"
Stuffed Onion Vegetable,"salt, ginger, amchur, tamarind water, red chilli powder, cloves garlic, pearl onion, coriander leaves, coriander powder, turmeric powder"
Grilled Eggplant Roll With Spicy Herbed Carrots,"salt, parmesan cheese, parsley, carrot, virgin olive oil, tzatziki, brinjal ness, basil pesto, pepper"
"Dahi Chivda (Fruit, Yogurt & Flattened Rice  Parfait)","mango, poha poha, curd, strawberries, palm sugar sweeten the yogurt, mixed nuts"
Paan Matka Kulfi,"sweet paan mix you get them the mukhwas section, pistachios, saffron strands, dried rose, sugar, milk full fat, cardamom powder" Caesar Salad,"salt, green romaine lettuce, bread cubes, mustard sauce, black pepper corns, virgin olive oil, cloves garlic, sugar, mayonnaise, lemon, cucumber, parmesan cheese, cherry tomato"
Summer Fruit Tart,"chikoo skin, mango coulis strawberryblueberry coulis, , mango, lychee skin, butterscotch ice, wheat oatmeal cookies, plums, green seedless grapes, icing sugar, butter"
Ayam Goreng Kremes - Indonesian Crunchy Fried Chicken,"cashew nuts, salt, kaffir lime leaves, eggs, tender coconut water, cloves garlic, coriander seeds, onion, lemon, dry red chillies, rice flour, chicken breasts cubes, sunflower oil"
Mangalore Buns - Puffed Banana Puris,"salt, wheat flour, ghee, baking soda, curd, sugar, cumin seeds, nendra pazham banana over ripe banana, sunflower oil"
Spinach And Millet Pulav,"tomato, salt, cumin powder, ginger, foxtail millet wheat, bay leaves, cardamom podsseeds, ghee, spinach leaves, turmeric powder, green chillies, sunflower oil"
Mangalorean Lobia Gassi - Black Eyed Peas In Coconut Curry,"salt, coconut, mustard seeds, asafoetida, black peppercorns, cloves garlic, dry red chilli, curry leaves, cloves garlic, dry red chillies, coriander seeds, cumin seeds, methi seeds, cinnamon stick, coconut milk, tamarind, turmeric powder, black eyed beans, sunflower oil"
"Roasted Vegetable Quesadilla With Zucchini, Carrots & Red Cabbage","salt, wheat flour, stalks spring onion, red bell pepper, cumin powder, tabasco original sauce, virgin olive oil, carrot, red cabbage, processed cheese, yellow zucchini"
Spinach Mushroom Chickpea Curry,"tomato, salt, cumin powder, ginger, coconut milk, mint leaves, cloves garlic, kabuli chana, red chillies green chillies, coriander leaves, onion, button mushrooms, turmeric powder, spinach leaves, garam masala powder, sunflower oil"
Traditional Rasmalai,"cashew nuts, rabdi, saffron strands, rose water, water, sugar, almonds, sooji, chenna"
Fusion Paneer Malai Makhani,"tomato, coriander leaves, coriander powder, paneer, kokum, water, black peppercorns, ginger garlic paste, curry leaves, onion, coconut oil, cumin seeds, methi seeds, black pepper powder, coconut milk, turmeric powder, red chilli powder"
Whole Wheat Flour Puttu,"basmati rice, wheat flour, salt, coconut, sugar"
Zucchini Paratha,"salt, cumin powder, wheat flour, amchur, ajwain, red chilli powder, water, ghee roasting, green zucchini, turmeric powder"
Indonesian Potato And Chicken Croquette,"eggs, nutmeg powder, flour, cloves garlic, red chilli flakes, onion, chicken, eggs, black pepper powder, potato, wheat bread crumbs, soy sauce sweet, sunflower oil"
Maavina Hannina Gojju (Karnataka Ripe Mango Curry),"salt, jaggery lemon, mustard seeds, mango, dry red chilli, asafoetida large, curry leaves, coconut oil, green chillies"
Chana Dal Aloo Cutlet - Gram Dal Potato Cutlet,"coriander, ginger, green chilli, asafoetida, coconut, chaat masala powder, red chilli powder, gram flour, sunflower oil making cutlets, cumin seeds, cardamom powder, mint leaves, potato, chana dal"
Masala Vadai Kuzhambu (Mudaliar Curried Fritters In Spicy Tamarind Gravy),"tomato, sesame oil, curry leaves, white urad dal, onion, turmeric powder, chana dal, green chillies, sunflower oil, salt, tamarind paste, garlic cloves, mustard seeds, coconut, red chilli powder, water, methi seeds, ginger, fennel seeds, poppy seeds, coriander powder"
Mexican Corn Salsa,"tomato, yellow bell pepper, red bell pepper, salt, green chilli, tabasco original sauce, coriander leaves, virgin olive oil, carrot, onion, lemon, sweet corn, green bell pepper"
Mango And Yogurt Coconut Fool - Healthy Mango Yogurt Pudding,"coconut, mango, curd, lemon, caster sugar, coconut milk"
Kerala Mutton Pepper Fry,"salt, cumin powder, ginger, red chilli powder, cloves garlic, water, curry leaves, onion, mutton, lemon, coconut, black pepper powder, coconut oil, coriander powder, turmeric powder"
"Stuffed Pita With Tandoori Mayo Chickpeas, Pickled Onions and Vegetables","salt, red bell pepper, red chilli powder, cloves garlic, virgin olive oil, parsley leaves, kabuli chana, del monte tandoori mayo, iceberg lettuce, onion, vinegar, black pepper powder, green bell pepper, butter toasting pita, mini pita breads"
Cabbage Foogath - Goan Cabbage Stir Fry,"salt, mustard seeds, asafoetida, coconut, jaggery, curry leaves, red chilli, cabbage, sunflower oil"
Lehsun ki Chutney - Spicy Garlic Chutney,"salt, water, lemon, dry red chillies, garlic, cumin seeds"
Caramelized Onion & Roasted Garlic Pasta,"salt, mozzarella cheese, black peppercorns, cloves garlic, virgin olive oil, onion, cheddar cheese, spirali pasta, basil leaves dry"
Raw Mango And Spring Onion Chutney,"salt, spring onion greens, dry red chilli, mango, sugar, cumin seeds, sunflower oil"
Bengali Chori-Mixed Vegetable Sabzi,"salt, parangikai pumpkin, mustard oil, asafoetida, brinjal, runner beans, ridge gourd, drumstick, sugar, dijon mustard, panch phoran masala, turmeric powder, potato, mooli mullangi, green chillies, pointed gourd, sunflower oil"
Pumpkin Vegetable with Panchh Phon Masala,"salt, parangikai pumpkin, mustard oil, curry leaves, dry red chillies, panch phoran masala, turmeric powder"
Jaipuri Potato Onion Vegetable Using Preeti,"tomato, salt, ginger, kashmiri red chilli powder, mustard oil, bay leaf, coriander leaves, cloves garlic, pearl onion, curd, baby potatoes, coriander powder, turmeric powder, green chillies, garam masala powder"
Til Ke Ladoo - Sesame Ladoo,"ghee, jaggery, water, cardamom powder, sesame seeds"
Hing Pani Puri-Asafoetida Pani Puri,"salt, black salt, cumin powder, tamarind water, coriander leaves, asafoetida, chaat masala powder, jaggery, red chilli powder, green moong sprouts, pani puris, mint leaves, potato, green chillies"
Fajeto - Gujarati Ripe Mango Curry,"salt, ginger, green chilli, asafoetida, mango, ghee, mustard seeds, jaggery, red chilli powder, coriander leaves, gram flour, curd, dry red chilli, curry leaves, cinnamon stick, cumin seeds, turmeric powder"
Manda Pitha-Orissa Steamed Rice Flour Dumplings,"salt, corn flour, coconut, paneer, milk, water, sugar, cardamom powder, rice flour"
